**Title**,**Authors**
A Framework for Traceability in the Archival of Model-Based Experiments,"Rakshit Mittal, Hans Vangheluwe, and Dominique Blouin"
Active Reproducibility for File-Based Exploratory Science,"Anthony Westbrook, Bocheng Cui, Lakshmi Ongolu, and Elizabeth Varki"
AI-Generated Code Is Not Reproducible (Yet): An Empirical Study of Dependency Gaps in LLM-Based Coding Agents,"Bhanu Prakash Vangala, Ashish Gehani, and Tanu Malik"
CodeR3: A GenAI-Powered Scientific Workflow Repair and Revival Ecosystem,"Asif Zaman, Kallol Naha, Khalid Belhajjame, and Hasan M. Jamil"
FAIRit: Automating FAIR Dataset Publication,"Lázaro Costa, Miguel Vilaña, and Jácome Cunha"
Measuring Reproducibility in LLM Research: A Rubric and Cross-Topic Corpus Study 🏆 **BEST PAPER**,"Chun Jie Chong, Chenxi Hou, Sichao Liu, and Zhihao Yao"
Mutating the 'Immutable': A Large-Scale Study of Git Tag Alterations,"Solal Rapaport, Laurent Pautet, Samuel Tardieu, Stefano Zacchiroli, and Théo Zimmermann"
Point-and-Click Reproducibility for Command-Line Data Analysis,"Anthony Westbrook, Lakshmi Ongolu, Bocheng Cui, and Elizabeth Varki"
Record and Replay Methods for Software Engineering Reproducibility: A Cross-Layer Survey and Taxonomy,"Chenxi Hou, Chun Jie Chong, Mahya Samdaliri, Sichao Liu, and Zhihao Yao"
ReproDB: An Open Platform for Discovering Research Artifacts and Analyzing their Evaluation in Security and Systems,"Anjo Vahldiek-Oberwagner, Marton Bognar, and Salvatore Signorello"
"Reproducibility Challenges in Computational Network Science: Evidence, Causes, and Recommendations",Akrati Saxena
Reproducibility of the NeurIPS 2020 Black-Box Optimization Challenge: Re-evaluating Competition Submissions,"Ivan Raytchinov, Marie Anastacio, Anja Jankovic, Odd Erik Gundersen, and Holger H. Hoos"
RISE: An RO-Crate Profile for Standardizing Research Infrastructure Experimental Artifacts,"Eric Hauser, Kilian Warmuth, Marcel Kempf, Lennard Harte, and Georg Carle"
"The AI Reproducibility Index: Ranking Venues, Countries and Institutions by Reproducibility","Kevin Coakley, Thijs Snelleman, Holger Hoos, and Odd Erik Gundersen"
Understanding Build Reproducibility in the F-Droid Ecosystem,"Denise Nanni, Julien Malka, Stefano Zacchiroli, Théo Zimmermann, and Gabriele D'Angelo"
Understanding or Imitation? Auditing Conceptual Understanding and Reasoning in Large Language Models,"Muhammad Saram Hassan, Essa Jan, Ramneet Kaur, Eric Yeh, Fareed Zaffar, and Ashish Gehani"
